Category,Title,URL,Type,Official UPM Unit,Summary,Why it matters,Suggested NotebookLM Tag,Priority,Recommendation usefulness score
Leadership and Student Development,Student Activity Application Forms,https://hep.upm.edu.my/perkhidmatan_kami/seksyen_perkhidmatan_kepimpinan_jati_diri/borang_borang_permohonan_aktiviti_pelajar_google_form-62139?L=bm,Webpage,Student Affairs Division,Official page for student activity application forms under leadership and identity services.,Helps translate recommendations into next administrative steps for student programmes.,student-activity,Medium,78
Career and Employability,PUTRAFLEX Flexible Curriculum Playbook,https://cadelead.upm.edu.my/upload/dokumen/20251229121821PUTRAFLEX_PLAYBOOK_%2816_jan_2020%29_compressed.pdf,PDF,Centre for Academic Development and Leadership Excellence,Playbook on flexible curriculum study paths elective choices interdisciplinary skills and future-proof graduates.,Strong source for personalized development pathways and future-ready learning choices.,career-development,High,94
Career and Employability,UPM MOOC Credit Transfer Requirements,https://cadelead.upm.edu.my/article/credit_transfer_mooc-71833,Webpage,Centre for Academic Development and Leadership Excellence,Explains official requirements for MOOC credit transfer recognized by UPM Senate.,Useful for recommending online learning and skill-building pathways with governance constraints.,career-development,Medium,84
Career and Employability,Work-based Learning Workshop,https://cadelead.upm.edu.my/kandungan/cpd2023_12_july_work_based_learning_workshop-73480,Webpage,Centre for Academic Development and Leadership Excellence,CADe-Lead content on work-based learning and student employability.,Supports employability-focused recommendations and experiential learning framing.,career-development,Medium,82
Career and Employability,SULAM Playbook,https://cadelead.upm.edu.my/upload/dokumen/20221223120906eBookBKA_l_SULAM_Playbook.pdf,PDF,Centre for Academic Development and Leadership Excellence,Service Learning Malaysia playbook on structured community-engaged learning and reflection.,Connects leadership community engagement and academic learning into development opportunities.,service-learning,High,93
Jiwa Putra and Student Values,Jiwa Putra OKU Tidak Dilupakan,https://hep.upm.edu.my/news/jiwa_putra_oku_tidak_dilupakan-82872?L=bm,Webpage,Student Affairs Division,News on Jiwa Putra 2.0 and inclusive support for students with disabilities.,Directly links the platform to inclusive Jiwa Putra care and student dignity.,jiwa-putra,High,95
Jiwa Putra and Student Values,Jiwa Putra Saat Tangan Menghulur Hati Berbicara,https://kemasiswa.upm.edu.my/artikel/jiwa_putra_saat_tangan_menghulur_hati_berbicara-84407,Webpage,UPM Student Union,Article describing Jiwa Putra activities volunteer spirit campus care tree planting and Berilmu Berbakti.,Excellent grounding for values-based impact and community engagement recommendations.,jiwa-putra,High,97
Jiwa Putra and Student Values,Kampung Angkat Madani at Jiwa Putra 2025,https://pkpp.upm.edu.my/news/programme_kampung_angkat_madani_jiwa_putra_2025-88877,Webpage,Centre for Co-Curriculum and Student Development,News on community engagement programme aligned with Jiwa Putra and Berilmu Berbakti.,Shows real community-based development opportunities for students.,jiwa-putra,High,92
Jiwa Putra and Student Values,UPM True North Agenda and Jiwa Putra,https://web.upm.edu.my/news/upm_prioritises_integrity_in_line_with_true_north_agenda_strengthens_strategic_direction_towards_2026-91528,Webpage,Universiti Putra Malaysia,UPM news highlighting integrity AI digitalisation data ecosystem alumni and empowerment of Jiwa Putra.,Supports strategic alignment between AI student success and university direction.,jiwa-putra,High,94
Jiwa Putra and Student Values,Berilmu Berbakti Convocation Message,https://spel.upm.edu.my/news/graduates_urged_not_to_forget_parents_and_familys_sacrifices_says_upm_pro_chancellor-90460,Webpage,Universiti Putra Malaysia,UPM convocation message linking Jiwa Putra Berilmu Berbakti resilience integrity and contribution.,Useful source for poster and pitch language around graduate attributes and service.,jiwa-putra,Medium,87
Competition Sources,Solusi AI Jiwa Putra 2026 Public Source Search,No public official URL found during search,Search gap,Competition / UPM source needed,Searches did not find an official public source for the competition title.,The team should add the official competition brief or portal when available.,competition,High,50
Competition Sources,Bulan Sinergi Putra 2026 Public Source Search,No public official URL found during search,Search gap,Competition / UPM source needed,Searches did not find an official public source for this phrase.,The team should add the official event page or PDF when available.,competition,High,50
